parcel,address,current_property_class,current_property_use,current_year_built,current_total_living_area,current_stories,current_assessed_value,lot_depth,lot_width,lot_size,max_n_units,lot_size_max_n_units,zoning_max_n_units,zoning,use,lot_minimum_per_du_sq_ft,lot_width_ft,front_yard_setback_ft,side_yard_setback_ft,rear_yard_setback_ft,reversed_corner_setback_ft,height_ft,lot_cvg_pct,usable_open_space_per_du_ft,distance_to_capitol_miles,latitude,longitude
70935107114,2041 S Park St,Commercial,Commercial exempt,0,0,0,0,0.0,0.0,22005.0,14.67,14.67,200,TR-V2,Multi-family (>12 units),1500,60.0,20,10,25,12,40,70,,2.2162544907466666,43.04333811023511,-89.39346178011354
60801208162,1 Singleton Ct,Commercial,8 unit Apartment,0,0,0,1069000,0.0,0.0,22215.6,14.8104,14.8104,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,6.604776091074307,43.02972983809345,-89.49954065133561
60903207343,2101 Pike Dr,Commercial,8 unit Apartment,0,0,0,919000,0.0,0.0,22236.0,14.824,14.824,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,3.5640963270686745,43.029034398008406,-89.417130408342
70935302483,1025 W Badger Rd,Commercial,12 unit Apartment,0,0,0,1012000,0.0,0.0,22259.16,14.83944,14.83944,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,2.6570443491119353,43.038109204584025,-89.40048532684095
70919101017,530 N Eau Claire Ave,Commercial,17 unit Apartment,0,0,0,1807000,0.0,0.0,22436.82,14.95788,14.95788,200,SR-V2,Multi-family (>24 units),1500,60.0,25,10,30,12,52,60,,4.08552890921973,43.074127352887814,-89.46512541587558
70824413036,211 Nautilus Dr,Commercial,8 unit Apartment,0,0,0,941000,0.0,0.0,22463.0,14.975333333333332,14.975333333333332,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.311632760022671,43.063125058979544,-89.48815280960174
81034108078,6 Loomis Cir,Residential,7 unit Apartment,1998,8744,2,1100000,0.0,0.0,22509.0,15.006,15.006,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.693284058871895,43.12025392558253,-89.29044927020263
81032410037,3342 E Washington Ave,Residential,4 unit Apartment,1994,2360,1,0,0.0,0.0,22520.0,15.013333333333334,15.013333333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,3.655933799237131,43.11198036872836,-89.33292717978738
60812210023,7001 East Pass,Residential,Condominium,0,0,0,0,0.0,0.0,22610.0,15.073333333333334,15.073333333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,7.376626639566393,43.01232175278558,-89.50267500832076
60801208138,10 S Wickham Ct,Residential,4 unit Apartment,1983,4014,2,515000,0.0,0.0,22651.2,15.1008,15.1008,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,6.590509024255457,43.02917589744692,-89.49881356584312
